iter	Passed	Remaining
687	4698	2130
688	4704	2123
689	4710	2116
690	4716	2109
691	4722	2101
692	4729	2094
693	4735	2088
694	4742	2081
695	4748	2073
696	4754	2066
697	4761	2060
698	4768	2053
699	4774	2046
700	4780	2038
701	4786	2031
702	4793	2024
703	4798	2017
704	4804	2010
705	4811	2003
706	4816	1996
707	4822	1989
708	4829	1982
709	4834	1974
710	4841	1967
711	4848	1961
712	4854	1953
713	4860	1946
714	4866	1939
715	4872	1932
716	4878	1925
717	4884	1918
718	4891	1911
719	4897	1904
720	4903	1897
721	4910	1890
722	4915	1883
723	4922	1876
724	4928	1869
725	4933	1862
726	4940	1855
727	4947	1848
728	4954	1841
729	4960	1834
730	4965	1827
731	4972	1820
732	4978	1813
733	4984	1806
734	4990	1799
735	4996	1792
736	5002	1785
737	5009	1778
738	5016	1771
739	5024	1765
740	5031	1758
741	5038	1751
742	5046	1745
743	5054	1739
744	5061	1732
745	5068	1725
746	5075	1719
747	5082	1712
748	5089	1705
749	5096	1698
750	5103	1692
751	5109	1685
752	5117	1678
753	5125	1672
754	5133	1665
755	5142	1659
756	5151	1653
757	5161	1647
758	5170	1641
759	5179	1635
760	5187	1629
761	5195	1622
762	5203	1616
763	5211	1609
764	5220	1603
765	5227	1596
766	5234	1590
767	5241	1583
768	5249	1576
769	5258	1570
770	5266	1564
771	5273	1557
772	5282	1551
773	5290	1544
774	5297	1538
775	5305	1531
776	5313	1524
777	5320	1518
778	5327	1511
779	5336	1505
780	5344	1498
781	5351	1491
782	5359	1485
783	5367	1478
784	5374	1471
785	5382	1465
786	5388	1458
787	5396	1451
788	5403	1445
789	5411	1438
790	5418	1431
791	5424	1424
792	5432	1418
793	5439	1411
794	5446	1404
795	5452	1397
796	5459	1390
797	5465	1383
798	5471	1376
799	5477	1369
800	5483	1362
801	5489	1355
802	5495	1348
803	5501	1341
804	5507	1334
805	5514	1327
806	5519	1320
807	5526	1313
808	5532	1306
809	5539	1299
810	5546	1292
811	5552	1285
812	5558	1278
813	5565	1271
814	5571	1264
815	5578	1257
816	5584	1250
817	5590	1243
818	5596	1236
819	5603	1229
820	5610	1223
821	5615	1216
822	5622	1209
823	5628	1202
824	5634	1195
825	5641	1188
826	5648	1181
827	5654	1174
828	5661	1167
829	5667	1160
830	5674	1154
831	5680	1147
832	5686	1140
833	5693	1133
834	5699	1126
835	5707	1119
836	5714	1112
837	5721	1106
838	5731	1099
839	5738	1093
840	5757	1088
841	5768	1082
842	5778	1076
843	5786	1069
844	5794	1062
845	5801	1056
846	5808	1049
847	5815	1042
848	5821	1035
849	5829	1028
850	5835	1021
851	5842	1014
852	5849	1008
853	5856	1001
854	5863	994
855	5869	987
856	5877	980
857	5884	973
858	5891	967
859	5898	960
860	5905	953
861	5912	946
862	5919	939
863	5926	932
864	5932	925
865	5940	919
866	5946	912
867	5952	905
868	5959	898
869	5965	891
870	5972	884
871	5979	877
872	5986	870
873	5992	863
874	5998	856
875	6005	850
876	6012	843
877	6017	836
878	6024	829
879	6030	822
880	6038	815
881	6044	808
882	6051	801
883	6058	794
884	6064	788
885	6071	781
886	6077	774
887	6084	767
888	6091	760
889	6097	753
890	6104	746
891	6110	739
892	6117	732
893	6124	726
894	6131	719
895	6138	712
896	6145	705
897	6152	698
898	6159	691
899	6165	685
900	6172	678
901	6177	671
902	6184	664
903	6189	657
904	6195	650
905	6202	643
906	6208	636
907	6214	629
908	6221	622
909	6227	615
910	6234	609
911	6240	602
912	6246	595
913	6253	588
914	6259	581
915	6266	574
916	6272	567
917	6277	560
918	6284	553
919	6290	547
920	6297	540
921	6303	533
922	6309	526
923	6316	519
924	6322	512
925	6328	505
926	6334	498
927	6340	491
928	6346	485
929	6352	478
930	6358	471
931	6365	464
932	6371	457
933	6377	450
934	6384	443
935	6390	436
936	6398	430
937	6405	423
938	6411	416
939	6417	409
940	6423	402
941	6430	395
942	6436	389
943	6443	382
944	6449	375
945	6455	368
946	6462	361
947	6469	354
948	6475	347
949	6482	341
950	6488	334
951	6495	327
952	6501	320
953	6507	313
954	6513	306
955	6519	300
956	6526	293
957	6532	286
958	6539	279
959	6545	272
960	6551	265
961	6558	259
962	6565	252
963	6571	245
964	6578	238
965	6585	231
966	6592	224
967	6598	218
968	6604	211
969	6611	204
970	6618	197
971	6625	190
972	6631	184
973	6638	177
974	6645	170
975	6651	163
976	6659	156
977	6665	149
978	6672	143
979	6679	136
980	6686	129
981	6693	122
982	6699	115
983	6705	109
984	6712	102
985	6718	95
986	6725	88
987	6731	81
988	6739	74
989	6744	68
990	6750	61
991	6757	54
992	6763	47
993	6770	40
994	6777	34
995	6784	27
996	6791	20
997	6796	13
998	6803	6
999	6809	0
